system,param_name,description,usage_scenario,setting_range,source
PX4,COM_DL_LOSS_T,"GCS connection loss time threshold After this amount of seconds without datalink, the GCS connection lost",,"min=5, max=300",src/modules/commander/commander_params.yaml
PX4,COM_HLDL_LOSS_T,High Latency Datalink loss time threshold After this amount of seconds without datalink the data link lost mode,,"min=60, max=3600",src/modules/commander/commander_params.yaml
PX4,COM_RC_LOSS_T,Manual control loss timeout |-,,"min=0, max=35",src/modules/commander/commander_params.yaml
PX4,COM_HOME_EN,Home position enabled |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_HOME_IN_AIR,Allows setting the home position after takeoff |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_RC_IN_MODE,Manual control input source configuration |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_DISARM_LAND,Time-out for auto disarm after landing |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_DISARM_PRFLT,Time-out for auto disarm if not taking off |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_ARM_WO_GPS,Arming without GNSS configuration |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_GNSSLOSS_ACT,GNSS loss failsafe mode |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_ARM_SWISBTN,Arm switch is a momentary button |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_LOW_BAT_ACT,Battery failsafe mode |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_FAIL_ACT_T,Delay between failsafe condition triggered and failsafe reaction |-,,"min=0.0, max=25.0",src/modules/commander/commander_params.yaml
PX4,COM_OF_LOSS_T,Offboard connection loss timeout |-,,"min=0, max=60",src/modules/commander/commander_params.yaml
PX4,COM_QC_ACT,Set action after a quadchute,,"min=0.1, max=1.0",src/modules/commander/commander_params.yaml
PX4,COM_OBL_RC_ACT,Set offboard loss failsafe mode |-,,"min=0.1, max=1.0",src/modules/commander/commander_params.yaml
PX4,COM_ARM_IMU_ACC,Max accelerometer inconsistency for arming Maximum accelerometer inconsistency between IMU units that will allow,,"min=0.1, max=1.0",src/modules/commander/commander_params.yaml
PX4,COM_ARM_IMU_GYR,Max rate gyro inconsistency for arming Maximum rate gyro inconsistency between IMU units that will allow arming,,"min=0.02, max=0.3",src/modules/commander/commander_params.yaml
PX4,COM_ARM_MAG_ANG,Max magnetic field inconsistency for arming |-,,"min=3, max=180",src/modules/commander/commander_params.yaml
PX4,COM_ARM_MAG_STR,Enable mag strength preflight check |-,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_ARM_MIS_REQ,Require valid mission to arm The default allows to arm the vehicle without a valid mission.,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_ARM_AUTH_REQ,Require arm authorization to arm By default off. The default allows to arm the vehicle without a arm,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_ARM_AUTH_ID,Arm authorizer system id Used if arm authorization is requested by COM_ARM_AUTH_REQ.,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_ARM_AUTH_MET,Arm authorization method |-,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_FLTMODE_BOOT,Flight mode on boot |-,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_ARM_ON_BOOT,Arm automatically on boot |-,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_ARM_AUTH_TO,Arm authorization timeout |-,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_POS_FS_EPH,Horizontal position error threshold for hovering systems |-,,"min=-1, max=400",src/modules/commander/commander_params.yaml
PX4,COM_POS_FS_ACT,Loss of position autonomous failsafe action |-,,"min=0, max=31",src/modules/commander/commander_params.yaml
PX4,COM_VEL_FS_EVH,Horizontal velocity error threshold |-,,"min=0, max=31",src/modules/commander/commander_params.yaml
